kic,prot,teff
892376,1.532,3813
1026146,14.891,4261
1026474,1.569,4122
1162635,15.678,3760
1164102,31.496,4045
1292688,42.659,3774
1297303,27.333,4296
1429921,23.131,4217
1430349,34.717,4285
1430893,17.045,3925
1431060,39.682,4195
1431116,38.757,4341
1432700,31.733,4305
1432745,22.189,4354
1435229,23.469,4050
1569682,17.354,3857
1569863,13.321,3589
1570915,12.315,4055
1571364,20.449,4404
1572802,0.374,3878
1573478,18.018,4233
1577265,15.153,3898
1718071,21.712,3857
1721911,29.62,3705
1722506,10.653,4270
1849590,16.197,4070
1865663,31.319,4230
1866535,24.925,3754
1866924,27.24,4117
1866986,37.348,3832
1867358,32.879,3625
1868579,38.173,4069
1870952,24.278,3888
1871120,37.851,4011
1872885,1.872,3688
1873523,20.429,3934
1873543,11.548,3702
1996574,20.48,4132
2010738,26.741,4067
2012731,36.258,3471
2013627,13.96,4084
2013754,4.9,4280
2014203,10.796,4202
2015703,22.448,4313
2015767,18.502,4078
2016979,17.253,4368
2017692,11.431,4250
2018383,30.372,4267
2020185,21.537,4289
2020638,18.35,4337
2140909,38.622,4139
2142372,18.641,3705
2142451,33.671,3482
2156061,30.03,4085
2156718,21.665,4176
2157356,13.607,3650
2160105,17.089,4352
2161569,21.366,4303
2162907,26.5,3830
2163101,25.637,4112
2163610,42.246,3913
2163634,30.462,4371
2167693,17.575,3766
2282712,20.167,3451
2282944,32.307,4312
2285598,37.057,3951
2300039,1.712,3402
2300440,21.326,4302
2301872,22.888,3968
2302851,12.217,3984
2302997,25.602,3933
2305760,19.57,4248
2309152,31.901,3938
2311842,19.754,4379
2423549,39.804,3730
2424688,11.095,3956
2435893,41.146,3903
2436635,1.175,4398
2437270,23.778,4242
2437317,36.913,4250
2438151,49.379,4403
2441409,25.364,4312
2441562,10.104,3617
2441891,15.472,3744
2441989,38.393,4223
2442004,8.865,3975
2442866,2.934,4344
2443037,11.652,4343
2443364,35.915,4013
2443935,34.068,3862
2444406,16.625,4195
2445782,27.609,4220
2446934,26.101,3774
2448311,24.021,4254
2448958,23.051,4157
2554730,45.962,3389
2555523,26.121,3869
2557350,18.979,3627
2557669,1.864,3672
2558314,27.59,4052
2568503,34.241,4099
2570277,45.99,3836
2570846,10.913,3781
2572352,39.222,4342
2574013,44.623,4220
2574427,13.635,3897
2575433,15.568,3857
2576013,23.532,4206
2576328,11.569,4311
2577210,31.136,4351
2577743,32.181,3511
2581298,17.539,3764
2581444,11.976,4094
2583553,25.117,4263
2584692,42.211,4108
2692704,14.903,3624
2692708,29.878,3531
2692772,28.03,3790
2693993,23.701,4301
2694414,19.741,4244
2695622,16.171,3743
2695885,56.728,3368
2708172,38.828,4126
2708787,23.83,4084
2713086,4.14,3921
2713304,29.857,3981
2714000,26.884,3777
2714077,13.802,4327
2716857,8.698,4248
2718397,22.446,4004
2718781,23.378,4113
2718935,33.05,3761
2831983,10.039,4248
2832175,18.987,4199
2832398,14.707,3800
2832720,24.142,3204
2832741,19.892,4380
2834075,37.55,3914
2834564,21.875,3524
2834612,13.436,3716
2834637,23.227,3233
2834754,27.236,4211
2834778,41.079,3624
2835051,39.835,4061
2835274,13.36,4078
2835393,14.995,3735
2836098,29.358,3971
2837126,34.624,4043
2845689,13.555,4106
2847357,32.441,3666
2852669,12.27,4201
2859045,24.459,4220
2859114,38.698,3395
2860547,25.968,4120
2861126,16.134,3598
2861880,25.844,4106
2865225,27.452,4110
2969839,36.292,3685
2971272,17.206,3695
2971717,11.846,4258
2973297,25.092,4286
2973361,45.917,3632
2973500,19.597,3547
2973800,30.939,4249
2982913,18.59,4041
2984144,34.277,4242
2985366,0.244,4208
2987754,21.995,4279
2988084,32.258,4348
2988458,17.658,3664
2989438,21.621,4370
2992347,31.286,4148
2992668,15.095,3726
2994087,31.335,4286
2994746,38.466,4389
2995880,19.616,4338
2997195,16.085,4083
2998208,22.168,3567
3096944,43.328,3981
3099491,34.991,3522
3099533,39.259,3449
3099900,18.095,3601
3100994,31.992,4112
3101007,13.451,3901
3101129,27.394,4285
3101830,24.516,4232
3102749,8.163,4058
3102763,14.561,3522
3103752,4.785,3379
3109825,13.318,3832
3109945,45.448,3417
3110319,16.643,4340
3110684,33.076,4219
3111995,37.751,3341
3112017,16.408,4156
3112821,11.387,4192
3112828,9.949,4288
3112866,38.283,4156
3112890,7.548,4170
3115879,37.107,3965
3116544,42.001,3792
3120513,31.812,4201
3120913,34.067,3751
3123647,14.361,4312
3130391,1.228,3916
3216700,4.271,3897
3218308,39.978,3920
3218997,38.682,3531
3219400,31.213,3965
3220742,14.992,3983
3221541,20.146,4147
3221915,36.57,4160
3222610,4.91,4097
3228485,35.479,4204
3230797,39.636,4172
3231403,33.796,3563
3232979,11.07,4390
3233853,29.59,3846
3234193,32.023,4269
3234338,17.391,4151
3234506,13.433,4289
3235295,15.677,4106
3241079,13.303,4098
3244968,18.572,3998
3246721,30.062,3901
3322943,18.869,3963
3323808,31.165,3536
3323908,42.057,4259
3325677,33.419,4189
3326330,13.004,4028
3326413,30.998,4198
3327092,36.352,3456
3328210,33.872,4325
3328254,31.578,3509
3328711,32.512,4290
3329985,46.523,3401
3335194,12.81,3956
3336334,16.255,4108
3336483,30.595,4371
3339107,48.654,4214
3342636,25.644,4069
3342894,14.092,4118
3343392,17.245,4058
3343664,22.704,4381
3343967,34.57,4214
3344220,15.656,3826
3344747,28.506,3876
3345985,10.565,4342
3347046,15.773,4216
3355476,12.228,4115
3356936,31.247,4084
3357261,39.139,4008
3424335,14.936,4138
3424832,19.535,4187
3425393,17.91,4368
3425850,17.362,3748
3426874,34.672,3742
3429369,17.347,4352
3430287,0.469,4349
3431662,19.128,4229
3437392,32.621,4395
3438817,37.159,3825
3439126,7.9,4088
3440357,20.453,4325
3441504,13.621,4273
3442034,40.417,3724
3442269,19.613,4309
3443137,35.534,3550
3444822,34.012,3475
3446150,11.855,4403
3446366,21.357,3999
3446966,37.221,4195
3448710,16.013,4168
3449953,40.955,3683
3449982,25.652,4389
3454793,1.96,3428
3456068,39.212,4377
3456560,30.577,3430
3457337,18.321,3921
3459917,23.586,4091
3525783,8.099,3966
3526312,25.005,4217
3526337,28.42,4364
3527038,40.883,3708
3527088,42.256,3757
3527281,11.004,4299
3527308,29.504,3689
3527979,17.421,4376
3528588,15.954,3646
3528986,22.128,4340
3530387,0.54,4315
3530780,36.521,4253
3531176,21.537,3503
3532922,38.195,3395
3533109,21.441,4051
3533220,14.279,4222
3533437,30.32,3637
3534089,47.46,3484
3534276,14.253,4283
3539331,1.541,4310
3539770,31.927,3682
3540472,41.629,3698
3541346,0.911,4194
3541628,28.263,4367
3542117,22.776,3546
3542480,14.884,4212
3542520,20.713,4025
3543331,27.251,4210
3548062,11.374,4278
3548078,24.972,4313
3550668,45.399,3477
3554849,31.916,3596
3556011,23.039,3724
3556242,29.671,3667
3556533,1.255,4215
3558162,29.484,3683
3558213,28.49,3740
3558789,31.637,3596
3626713,23.766,3877
3627030,33.472,4325
3627277,35.898,4233
3627704,41.977,3888
3628296,6.737,4285
3629063,41.696,4064
3630402,27.394,4084
3631401,10.069,4107
3631844,39.309,3858
3634308,13.02,3731
3634402,47.476,3364
3640967,35.352,4221
3642661,34.573,4294
3643000,18.931,3886
3646734,14.702,3726
3648000,12.715,4168
3648289,23.831,4099
3648376,40.373,3405
3648712,26.158,4175
3650746,23.539,4394
3656048,24.324,4359
3656267,10.802,4313
3656293,29.555,4260
3658166,45.337,4366
3658853,10.925,3969
3659328,17.456,4071
3659481,27.077,4194
3659811,17.267,3549
3660458,47.076,3426
