kic,prot,teff
8418220,21.649,5538
4679110,28.004,4821
4385761,15.155,5288
11244453,8.971,6023
6610530,33.622,4848
6424778,18.217,5594
6946871,2.203,6490
4907576,27.739,4799
8476384,27.596,5315
4909473,4.406,6128
5773135,27.643,4989
8161589,23.409,5671
7422281,17.931,5654
4904088,2.529,6200
5297346,9.375,5110
3938241,16.781,3769
8873448,3.456,3919
11753667,2.831,4939
7703219,19.996,4910
10267590,15.116,3790
7022598,19.413,3608
3236788,5.429,5674
4659608,28.737,4449
8624918,30.968,4820
8153942,20.303,4765
9109003,28.392,4907
6372718,18.915,5999
7283959,10.038,5096
8554446,13.659,6146
8246379,17.985,5820
6515731,35.79,4806
9994206,18.306,5663
9287933,20.416,5568
9226525,14.467,5683
11549696,8.559,5716
4355501,25.161,5384
4480250,27.504,4037
6107266,4.379,6128
3648721,2.523,6190
9512162,19.42,3907
7886049,1.497,4467
893647,8.829,4712
5907881,21.49,5550
11499205,18.295,5618
2019900,5.975,6187
12056765,20.735,4102
7939051,17.245,4961
7267381,23.324,4403
3831289,28.409,4627
7751278,8.59,5869
10119109,26.292,4873
7551695,3.915,4048
5177000,11.439,5427
4569832,4.307,5982
10965333,25.001,5390
8037466,18.727,5496
9201411,37.639,4105
9887628,19.355,5598
7544521,7.371,5244
9846463,18.973,5782
7257681,19.338,5035
5033905,27.555,4426
3327068,4.519,4875
7024901,9.261,5060
6545529,32.325,5315
11464130,2.995,6448
10579554,28.985,5074
8940708,19.006,3823
5791190,18.454,5326
4375393,14.307,6150
7201995,8.683,5729
10082941,2.723,6432
11413985,33.843,4821
9075993,12.01,5414
9588514,20.505,3577
8557171,24.913,5142
3540780,26.697,5383
9882662,28.075,5286
5613532,26.146,5077
11243831,14.46,3890
8182250,19.711,5585
11234457,18.727,5396
5179724,10.524,4935
10579337,22.822,4780
8264548,19.874,4928
2831370,19.63,5645
11774350,28.274,3587
9034074,11.058,6134
5977477,27.81,4290
8240881,13.432,5190
3441423,12.503,5601
9643212,31.884,4797
10482340,19.799,5555
6204758,33.663,4920
8446325,18.542,5426
11043281,12.708,5681
5195727,23.496,4259
10146386,23.55,5588
9019565,16.384,5550
12353640,34.647,4617
2695222,3.702,5694
7906811,15.08,5691
8105265,21.734,4159
9141881,4.112,5785
9474239,6.135,5633
11402156,20.566,4310
5015744,23.066,4820
2556279,3.317,6342
2832484,3.646,5505
11708609,22.201,5643
5171909,22.14,5194
10450882,37.175,5024
7594770,2.648,5636
6717610,11.411,5443
10032516,16.75,5590
7102876,10.932,5952
3242050,12.932,5250
8939987,33.567,4710
9906862,22.069,4683
10982750,18.154,5369
11666295,14.476,5557
4918333,19.854,3718
5939736,31.055,5170
11121569,29.486,4632
7464361,1.792,6398
11138903,18.967,5533
12009086,30.34,4515
9481887,16.623,5866
6423605,30.751,5103
7060301,12.463,5444
10121126,7.458,6464
6358735,33.541,3552
9716008,10.067,5945
9283985,4.656,6405
5715752,7.554,5552
6220300,20.305,5431
8962137,22.603,3514
3850729,38.752,5314
5307845,32.845,5253
10462310,3.571,6352
8195297,29.919,5051
9778224,37.448,4354
8358946,3.947,5711
8806713,30.867,5079
7284498,17.514,5309
9095110,5.274,4935
6232989,28.986,5670
3863928,7.923,5556
6869776,25.269,5324
12169827,31.989,5140
5482415,1.869,5752
8233588,11.894,5919
9347979,29.371,4314
8327990,0.501,4552
6525026,13.121,6226
12470281,6.536,6202
9673891,3.107,6159
5354845,7.902,5350
7627107,31.319,4109
9909232,27.437,4329
9897060,29.122,5998
8509824,2.319,6311
4838459,6.806,5322
8211801,6.385,5583
10670221,34.952,5066
4651312,29.427,5068
12061977,20.571,5709
3330261,26.347,4807
10141132,17.873,4831
9224698,6.877,5073
6038355,8.089,5659
8635480,6.804,5773
11341527,13.638,5646
5392431,9.592,5161
8804147,38.53,3956
9229171,6.979,5509
10843566,21.724,3963
5301441,13.034,5852
11497377,27.993,5197
12506956,24.478,4928
5374723,28.015,5328
11407896,10.46,4815
9291754,33.219,4879
12736892,2.65,5039
8179177,11.682,5946
6431431,4.516,5801
9012171,27.422,5436
10904343,3.063,6456
10226001,16.9,5860
9141609,27.996,4617
3842433,13.422,6004
3222610,4.91,4097
6706050,7.352,5835
5939072,23.728,4434
11802265,17.334,3644
4381114,32.261,4798
12643890,19.993,5078
8582151,10.777,5104
8985384,22.628,4875
8008835,17.232,4912
8181016,0.713,5179
5257177,15.505,5565
10914339,8.786,5558
5254309,15.0,3966
10528243,10.638,4871
5194631,17.975,5064
8843859,10.344,4297
11454108,27.435,5488
9935067,15.791,5582
5716131,14.118,5911
12400940,26.069,4106
8590354,11.387,5381
4383270,0.823,5225
9726020,2.133,4581
9696929,31.032,5232
6428698,28.813,4367
8114703,9.511,5307
10153506,19.804,5235
11137684,19.35,5842
5373525,32.337,5104
9176383,39.64,3675
6021998,3.034,6371
10002203,19.165,5253
6444981,11.943,5358
9487552,15.603,5529
3353601,24.033,5119
7812977,16.459,5947
5544227,1.757,6242
9326538,25.945,4190
6445061,21.397,5470
11029754,13.762,4813
9970848,22.207,5595
11924264,22.877,4290
7521850,33.571,5097
4379563,9.253,4919
5939163,22.079,5542
3733537,5.975,5951
4357578,32.622,5179
7668857,9.183,4573
7301333,27.947,5473
2158543,20.826,4838
9702201,18.166,5503
5095980,19.678,5528
5723318,2.526,6201
7773885,13.143,5275
8264134,11.07,4970
3559411,35.841,4930
7552002,14.218,4570
8564261,16.428,5507
9529787,31.67,4154
4914771,13.026,5677
9017238,34.067,4770
12017255,19.58,5666
10388647,32.152,4800
9594726,9.658,4974
10842952,26.929,4079
5900600,14.043,3858
8687869,11.391,5764
11752614,26.91,4804
7750330,15.716,5535
10793443,7.344,5562
5207655,2.546,6154
11763903,10.456,6112
3328254,31.578,3509
12216897,28.483,4124
7973122,28.221,5030
6290740,15.164,6342
8197923,4.045,4834
10219271,5.972,5563
6045006,18.546,4845
6947058,9.673,5741
6044768,35.231,4944
7739127,34.829,4150
8442718,0.93,6499
6279323,23.019,5639
7513681,34.032,4785
8053780,8.955,4671
8494217,5.835,6220
5471091,1.089,6294
7456981,32.062,4174
8673891,14.927,4822
6231124,5.527,5865
9097199,3.737,5636
6548429,7.632,5606
4738722,13.569,5222
10056408,5.094,5420
6123205,4.337,4461
5114994,6.276,6235
10470126,20.578,5909
11465987,1.504,5006
9717563,16.189,5550
5512513,0.781,4582
10553563,26.055,4638
4075608,9.09,5854
10336624,33.337,3541
8162452,33.959,4214
7466155,8.185,5317
9216773,31.928,4772
10746136,3.815,6116
6529860,11.963,6417
11014282,1.618,6435
12152988,6.079,6207
9590661,3.091,6432
5696590,3.237,6358
10849498,27.204,4705
11250301,15.647,5777
11036239,35.205,3821
10163713,12.377,5697
6451979,4.964,5711
3531315,21.199,5634
8813055,23.806,5326
6358701,24.837,5675
6939305,1.698,6395
8560652,15.114,5112
5197876,9.463,4794
3974277,12.021,6012
11570623,31.682,4368
9073131,14.431,4186
9182484,3.93,5979
11857691,21.457,5082
12735339,19.361,4151
10843735,13.645,5706
5031916,4.741,5969
11230757,23.155,6069
11973659,19.022,4339
4076697,8.378,4965
10659819,15.88,4996
10725005,17.468,5138
5528100,12.565,5585
5601728,26.13,5038
5554125,20.911,5919
7596634,4.565,5544
12456471,27.703,4226
6696289,27.499,5458
7909671,27.511,5262
8564441,5.956,5798
9821337,19.095,5334
2444517,26.095,4426
2443364,35.915,4013
11918886,20.434,5496
8058082,5.187,5774
9533670,11.435,5496
4042747,9.957,5224
6345900,31.632,5540
6836201,20.116,4527
8959288,9.964,5013
4158384,32.704,5231
5040378,25.799,4233
9474309,32.474,4979
9427948,26.903,4659
6445537,1.659,4729
